"","scenario","type","method1","method2","distance"
"272","294","OCCURRENCE","area","weighted",0.0408
"273","294","IMPACT","area","pooling",0.5805
"274","294","OCCURRENCE","area","pooling",0.5877
"275","294","IMPACT","center","centertogrid",0.2615
"276","294","OCCURRENCE","center","centertogrid",0.4154
"277","294","IMPACT","center","reachedgrid",0.2564
"278","294","OCCURRENCE","center","reachedgrid",0.2776
"279","294","IMPACT","center","weighted",0.0932
"280","294","OCCURRENCE","center","weighted",0.0965
"281","294","IMPACT","center","pooling",0.5231
"282","294","OCCURRENCE","center","pooling",0.5077
"283","294","IMPACT","centertogrid","reachedgrid",0.0683
"284","294","OCCURRENCE","centertogrid","reachedgrid",0.1378
"285","294","IMPACT","centertogrid","weighted",0.2288
"286","294","OCCURRENCE","centertogrid","weighted",0.3583
"287","294","IMPACT","centertogrid","pooling",0.6308
"288","294","OCCURRENCE","centertogrid","pooling",0.5077
"289","294","IMPACT","reachedgrid","weighted",0.2273
"290","294","OCCURRENCE","reachedgrid","weighted",0.2353
"291","294","IMPACT","reachedgrid","pooling",0.6718
"292","294","OCCURRENCE","reachedgrid","pooling",0.6455
"293","294","IMPACT","weighted","pooling",0.5291
"294","294","OCCURRENCE","weighted","pooling",0.5501
"295","297","IMPACT","classic","area",0.2374
"296","297","OCCURRENCE","classic","area",0.2901
"297","297","IMPACT","classic","center",0.2206
"298","297","OCCURRENCE","classic","center",0.2647
"299","297","IMPACT","classic","centertogrid",0.0882
"300","297","OCCURRENCE","classic","centertogrid",0.1912
"301","297","IMPACT","classic","reachedgrid",0.1269
"302","297","OCCURRENCE","classic","reachedgrid",0.1664
"303","297","IMPACT","classic","weighted",0.2048
"304","297","OCCURRENCE","classic","weighted",0.2621
"305","297","IMPACT","classic","pooling",0.7059
"306","297","OCCURRENCE","classic","pooling",0.7206
"307","297","IMPACT","area","center",0.1075
"308","297","OCCURRENCE","area","center",0.109
"309","297","IMPACT","area","centertogrid",0.2877
"310","297","OCCURRENCE","area","centertogrid",0.2731
"311","297","IMPACT","area","reachedgrid",0.1696
"312","297","OCCURRENCE","area","reachedgrid",0.1937
"313","297","IMPACT","area","weighted",0.0378
"314","297","OCCURRENCE","area","weighted",0.0281
"315","297","IMPACT","area","pooling",0.7417
"316","297","OCCURRENCE","area","pooling",0.5094
"317","297","IMPACT","center","centertogrid",0.3088
"318","297","OCCURRENCE","center","centertogrid",0.2353
"319","297","IMPACT","center","reachedgrid",0.1916
"320","297","OCCURRENCE","center","reachedgrid",0.197
"321","297","IMPACT","center","weighted",0.0766
"322","297","OCCURRENCE","center","weighted",0.0848
"323","297","IMPACT","center","pooling",0.6471
"324","297","OCCURRENCE","center","pooling",0.5147
"325","297","IMPACT","centertogrid","reachedgrid",0.1181
"326","297","OCCURRENCE","centertogrid","reachedgrid",0.0794
"327","297","IMPACT","centertogrid","weighted",0.2734
"328","297","OCCURRENCE","centertogrid","weighted",0.2628
"329","297","IMPACT","centertogrid","pooling",0.6176
"330","297","OCCURRENCE","centertogrid","pooling",0.5294
"331","297","IMPACT","reachedgrid","weighted",0.184
"332","297","OCCURRENCE","reachedgrid","weighted",0.1835
"333","297","IMPACT","reachedgrid","pooling",0.7357
"334","297","OCCURRENCE","reachedgrid","pooling",0.5586
"335","297","IMPACT","weighted","pooling",0.7082
"336","297","OCCURRENCE","weighted","pooling",0.5175
"337","309","IMPACT","classic","area",0.3864
"338","309","OCCURRENCE","classic","area",0.3461
"339","309","IMPACT","classic","center",0.3333
"340","309","OCCURRENCE","classic","center",0.3333
"341","309","IMPACT","classic","centertogrid",0.2319
"342","309","OCCURRENCE","classic","centertogrid",0.2099
"343","309","IMPACT","classic","reachedgrid",0.2246
"344","309","OCCURRENCE","classic","reachedgrid",0.1545
"345","309","IMPACT","classic","weighted",0.3555
"346","309","OCCURRENCE","classic","weighted",0.3365
"347","309","IMPACT","classic","pooling",0.7246
"348","309","OCCURRENCE","classic","pooling",0.8261
"349","309","IMPACT","area","center",0.1425
"350","309","OCCURRENCE","area","center",0.0983
"351","309","IMPACT","area","centertogrid",0.1958
"352","309","OCCURRENCE","area","centertogrid",0.2495
"353","309","IMPACT","area","reachedgrid",0.1618
"354","309","OCCURRENCE","area","reachedgrid",0.1916
"355","309","IMPACT","area","weighted",0.0384
"356","309","OCCURRENCE","area","weighted",0.0163
"357","309","IMPACT","area","pooling",0.656
"358","309","OCCURRENCE","area","pooling",0.6401
"359","309","IMPACT","center","centertogrid",0.2319
"360","309","OCCURRENCE","center","centertogrid",0.309
"361","309","IMPACT","center","reachedgrid",0.2246
"362","309","OCCURRENCE","center","reachedgrid",0.2487
"363","309","IMPACT","center","weighted",0.1044
"364","309","OCCURRENCE","center","weighted",0.0842
"365","309","IMPACT","center","pooling",0.6087
"366","309","OCCURRENCE","center","pooling",0.6087
"367","309","IMPACT","centertogrid","reachedgrid",0.0727
"368","309","OCCURRENCE","centertogrid","reachedgrid",0.0604
"369","309","IMPACT","centertogrid","weighted",0.195
"370","309","OCCURRENCE","centertogrid","weighted",0.246
"371","309","IMPACT","centertogrid","pooling",0.5072
"372","309","OCCURRENCE","centertogrid","pooling",0.6765
"373","309","IMPACT","reachedgrid","weighted",0.1878
"374","309","OCCURRENCE","reachedgrid","weighted",0.1856
"375","309","IMPACT","reachedgrid","pooling",0.5
"376","309","OCCURRENCE","reachedgrid","pooling",0.7368
"377","309","IMPACT","weighted","pooling",0.6254
"378","309","OCCURRENCE","weighted","pooling",0.6292
"379","317","IMPACT","classic","area",0.2704
"380","317","OCCURRENCE","classic","area",0.3229
"381","317","IMPACT","classic","center",0.2424
"382","317","OCCURRENCE","classic","center",0.2879
"383","317","IMPACT","classic","centertogrid",0.0758
"384","317","OCCURRENCE","classic","centertogrid",0.1583
"385","317","IMPACT","classic","reachedgrid",0.0828
"386","317","OCCURRENCE","classic","reachedgrid",0.1582
"387","317","IMPACT","classic","weighted",0.2536
"388","317","OCCURRENCE","classic","weighted",0.2882
"389","317","IMPACT","classic","pooling",0.7424
"390","317","OCCURRENCE","classic","pooling",0.7121
"391","317","IMPACT","area","center",0.1079
"392","317","OCCURRENCE","area","center",0.1138
"393","317","IMPACT","area","centertogrid",0.2318
"394","317","OCCURRENCE","area","centertogrid",0.3111
"395","317","IMPACT","area","reachedgrid",0.1981
"396","317","OCCURRENCE","area","reachedgrid",0.1949
"397","317","IMPACT","area","weighted",0.045
"398","317","OCCURRENCE","area","weighted",0.0354
"399","317","IMPACT","area","pooling",0.6161
"400","317","OCCURRENCE","area","pooling",0.5329
"401","317","IMPACT","center","centertogrid",0.3182
"402","317","OCCURRENCE","center","centertogrid",0.3552
"403","317","IMPACT","center","reachedgrid",0.2544
"404","317","OCCURRENCE","center","reachedgrid",0.2483
"405","317","IMPACT","center","weighted",0.0958
"406","317","OCCURRENCE","center","weighted",0.0888
"407","317","IMPACT","center","pooling",0.5455
"408","317","OCCURRENCE","center","pooling",0.5152
"409","317","IMPACT","centertogrid","reachedgrid",0.0638
"410","317","OCCURRENCE","centertogrid","reachedgrid",0.1187
"411","317","IMPACT","centertogrid","weighted",0.2223
"412","317","OCCURRENCE","centertogrid","weighted",0.2965
"413","317","IMPACT","centertogrid","pooling",0.6667
"414","317","OCCURRENCE","centertogrid","pooling",0.5538
"415","317","IMPACT","reachedgrid","weighted",0.2417
"416","317","OCCURRENCE","reachedgrid","weighted",0.2295
"417","317","IMPACT","reachedgrid","pooling",0.7305
"418","317","OCCURRENCE","reachedgrid","pooling",0.6726
"419","317","IMPACT","weighted","pooling",0.5771
"420","317","OCCURRENCE","weighted","pooling",0.5016
"421","319","IMPACT","classic","area",0.323
"422","319","OCCURRENCE","classic","area",0.3284
"423","319","IMPACT","classic","center",0.3582
"424","319","OCCURRENCE","classic","center",0.3731
"425","319","IMPACT","classic","centertogrid",0.1045
"426","319","OCCURRENCE","classic","centertogrid",0.194
"427","319","IMPACT","classic","reachedgrid",0.1787
"428","319","OCCURRENCE","classic","reachedgrid",0.175
"429","319","IMPACT","classic","weighted",0.31
"430","319","OCCURRENCE","classic","weighted",0.3351
"431","319","IMPACT","classic","pooling",0.7612
"432","319","OCCURRENCE","classic","pooling",0.806
"433","319","IMPACT","area","center",0.1295
"434","319","OCCURRENCE","area","center",0.0733
"435","319","IMPACT","area","centertogrid",0.2185
"436","319","OCCURRENCE","area","centertogrid",0.2627
"437","319","IMPACT","area","reachedgrid",0.2153
"438","319","OCCURRENCE","area","reachedgrid",0.2268
"439","319","IMPACT","area","weighted",0.0423
"440","319","OCCURRENCE","area","weighted",0.0102
"441","319","IMPACT","area","pooling",0.5672
"442","319","OCCURRENCE","area","pooling",0.6029
"443","319","IMPACT","center","centertogrid",0.2687
"444","319","OCCURRENCE","center","centertogrid",0.2836
"445","319","IMPACT","center","reachedgrid",0.3042
"446","319","OCCURRENCE","center","reachedgrid",0.2715
"447","319","IMPACT","center","weighted",0.0944
"448","319","OCCURRENCE","center","weighted",0.0718
"449","319","IMPACT","center","pooling",0.5522
"450","319","OCCURRENCE","center","pooling",0.5522
"451","319","IMPACT","centertogrid","reachedgrid",0.0981
"452","319","OCCURRENCE","centertogrid","reachedgrid",0.1003
"453","319","IMPACT","centertogrid","weighted",0.2204
"454","319","OCCURRENCE","centertogrid","weighted",0.26
"455","319","IMPACT","centertogrid","pooling",0.6716
"456","319","OCCURRENCE","centertogrid","pooling",0.6119
"457","319","IMPACT","reachedgrid","weighted",0.2559
"458","319","OCCURRENCE","reachedgrid","weighted",0.2335
"459","319","IMPACT","reachedgrid","pooling",0.7071
"460","319","OCCURRENCE","reachedgrid","pooling",0.7043
"461","319","IMPACT","weighted","pooling",0.5326
"462","319","OCCURRENCE","weighted","pooling",0.5941
"463","322","IMPACT","classic","area",0.3214
"464","322","OCCURRENCE","classic","area",0.3965
"465","322","IMPACT","classic","center",0.2836
"466","322","OCCURRENCE","classic","center",0.3284
"467","322","IMPACT","classic","centertogrid",0.1493
"468","322","OCCURRENCE","classic","centertogrid",0.2388
"469","322","IMPACT","classic","reachedgrid",0.146
"470","322","OCCURRENCE","classic","reachedgrid",0.2357
"471","322","IMPACT","classic","weighted",0.254
"472","322","OCCURRENCE","classic","weighted",0.3803
"473","322","IMPACT","classic","pooling",0.7164
"474","322","OCCURRENCE","classic","pooling",0.8358
"475","322","IMPACT","area","center",0.1491
"476","322","OCCURRENCE","area","center",0.0907
"477","322","IMPACT","area","centertogrid",0.2727
"478","322","OCCURRENCE","area","centertogrid",0.201
"479","322","IMPACT","area","reachedgrid",0.1754
"480","322","OCCURRENCE","area","reachedgrid",0.1613
"481","322","IMPACT","area","weighted",0.0709
"482","322","OCCURRENCE","area","weighted",0.0238
"483","322","IMPACT","area","pooling",0.6191
"484","322","OCCURRENCE","area","pooling",0.6131
"485","322","IMPACT","center","centertogrid",0.2836
"486","322","OCCURRENCE","center","centertogrid",0.209
"487","322","IMPACT","center","reachedgrid",0.2863
"488","322","OCCURRENCE","center","reachedgrid",0.2198
"489","322","IMPACT","center","weighted",0.0838
"490","322","OCCURRENCE","center","weighted",0.074
"491","322","IMPACT","center","pooling",0.5373
"492","322","OCCURRENCE","center","pooling",0.5224
"493","322","IMPACT","centertogrid","reachedgrid",0.1277
"494","322","OCCURRENCE","centertogrid","reachedgrid",0.0745
"495","322","IMPACT","centertogrid","weighted",0.2487
"496","322","OCCURRENCE","centertogrid","weighted",0.199
"497","322","IMPACT","centertogrid","pooling",0.6119
"498","322","OCCURRENCE","centertogrid","pooling",0.7015
"499","322","IMPACT","reachedgrid","weighted",0.2383
"500","322","OCCURRENCE","reachedgrid","weighted",0.1794
"501","322","IMPACT","reachedgrid","pooling",0.7192
"502","322","OCCURRENCE","reachedgrid","pooling",0.7422
"503","322","IMPACT","weighted","pooling",0.5553
"504","322","OCCURRENCE","weighted","pooling",0.5963
"505","323","IMPACT","classic","area",0.3147
"506","323","OCCURRENCE","classic","area",0.3415
"507","323","IMPACT","classic","center",0.2812
"508","323","OCCURRENCE","classic","center",0.2969
"509","323","IMPACT","classic","centertogrid",0.1094
"510","323","OCCURRENCE","classic","centertogrid",0.1314
"511","323","IMPACT","classic","reachedgrid",0.1508
"512","323","OCCURRENCE","classic","reachedgrid",0.1622
