"","scenario","type","method1","method2","distance"
"340","289","OCCURRENCE","classic","center",0.2941
"341","289","IMPACT","classic","centertogrid",0.0441
"342","289","OCCURRENCE","classic","centertogrid",0.1765
"343","289","IMPACT","classic","reachedgrid",0.0763
"344","289","OCCURRENCE","classic","reachedgrid",0.1738
"345","289","IMPACT","classic","weighted",0.1898
"346","289","OCCURRENCE","classic","weighted",0.2735
"347","289","IMPACT","classic","pooling",0.6912
"348","289","OCCURRENCE","classic","pooling",0.6471
"349","289","IMPACT","area","center",0.1139
"350","289","OCCURRENCE","area","center",0.0919
"351","289","IMPACT","area","centertogrid",0.2371
"352","289","OCCURRENCE","area","centertogrid",0.2129
"353","289","IMPACT","area","reachedgrid",0.1882
"354","289","OCCURRENCE","area","reachedgrid",0.1882
"355","289","IMPACT","area","weighted",0.053
"356","289","OCCURRENCE","area","weighted",0.0148
"357","289","IMPACT","area","pooling",0.7201
"358","289","OCCURRENCE","area","pooling",0.5662
"359","289","IMPACT","center","centertogrid",0.2647
"360","289","OCCURRENCE","center","centertogrid",0.1912
"361","289","IMPACT","center","reachedgrid",0.2254
"362","289","OCCURRENCE","center","reachedgrid",0.1707
"363","289","IMPACT","center","weighted",0.0702
"364","289","OCCURRENCE","center","weighted",0.0783
"365","289","IMPACT","center","pooling",0.6471
"366","289","OCCURRENCE","center","pooling",0.5
"367","289","IMPACT","centertogrid","reachedgrid",0.1021
"368","289","OCCURRENCE","centertogrid","reachedgrid",0.0378
"369","289","IMPACT","centertogrid","weighted",0.2173
"370","289","OCCURRENCE","centertogrid","weighted",0.2033
"371","289","IMPACT","centertogrid","pooling",0.6471
"372","289","OCCURRENCE","centertogrid","pooling",0.5294
"373","289","IMPACT","reachedgrid","weighted",0.1928
"374","289","OCCURRENCE","reachedgrid","weighted",0.1843
"375","289","IMPACT","reachedgrid","pooling",0.6959
"376","289","OCCURRENCE","reachedgrid","pooling",0.5268
"377","289","IMPACT","weighted","pooling",0.679
"378","289","OCCURRENCE","weighted","pooling",0.5532
"379","290","IMPACT","classic","area",0.3602
"380","290","OCCURRENCE","classic","area",0.3523
"381","290","IMPACT","classic","center",0.2647
"382","290","OCCURRENCE","classic","center",0.2647
"383","290","IMPACT","classic","centertogrid",0.2059
"384","290","OCCURRENCE","classic","centertogrid",0.1798
"385","290","IMPACT","classic","reachedgrid",0.1886
"386","290","OCCURRENCE","classic","reachedgrid",0.1867
"387","290","IMPACT","classic","weighted",0.3251
"388","290","OCCURRENCE","classic","weighted",0.3176
"389","290","IMPACT","classic","pooling",0.7059
"390","290","OCCURRENCE","classic","pooling",0.7206
"391","290","IMPACT","area","center",0.1213
"392","290","OCCURRENCE","area","center",0.139
"393","290","IMPACT","area","centertogrid",0.2214
"394","290","OCCURRENCE","area","centertogrid",0.3013
"395","290","IMPACT","area","reachedgrid",0.1715
"396","290","OCCURRENCE","area","reachedgrid",0.1921
"397","290","IMPACT","area","weighted",0.0354
"398","290","OCCURRENCE","area","weighted",0.0388
"399","290","IMPACT","area","pooling",0.5801
"400","290","OCCURRENCE","area","pooling",0.692
"401","290","IMPACT","center","centertogrid",0.2059
"402","290","OCCURRENCE","center","centertogrid",0.3145
"403","290","IMPACT","center","reachedgrid",0.2205
"404","290","OCCURRENCE","center","reachedgrid",0.2265
"405","290","IMPACT","center","weighted",0.0864
"406","290","OCCURRENCE","center","weighted",0.1145
"407","290","IMPACT","center","pooling",0.5294
"408","290","OCCURRENCE","center","pooling",0.6029
"409","290","IMPACT","centertogrid","reachedgrid",0.0736
"410","290","OCCURRENCE","centertogrid","reachedgrid",0.1146
"411","290","IMPACT","centertogrid","weighted",0.1919
"412","290","OCCURRENCE","centertogrid","weighted",0.2916
"413","290","IMPACT","centertogrid","pooling",0.5
"414","290","OCCURRENCE","centertogrid","pooling",0.6119
"415","290","IMPACT","reachedgrid","weighted",0.1579
"416","290","OCCURRENCE","reachedgrid","weighted",0.177
"417","290","IMPACT","reachedgrid","pooling",0.5172
"418","290","OCCURRENCE","reachedgrid","pooling",0.7265
"419","290","IMPACT","weighted","pooling",0.5482
"420","290","OCCURRENCE","weighted","pooling",0.6608
"421","291","IMPACT","classic","area",0.2243
"422","291","OCCURRENCE","classic","area",0.3418
"423","291","IMPACT","classic","center",0.2535
"424","291","OCCURRENCE","classic","center",0.3662
"425","291","IMPACT","classic","centertogrid",0.0986
"426","291","OCCURRENCE","classic","centertogrid",0.2394
"427","291","IMPACT","classic","reachedgrid",0.0895
"428","291","OCCURRENCE","classic","reachedgrid",0.2435
"429","291","IMPACT","classic","weighted",0.192
"430","291","OCCURRENCE","classic","weighted",0.3506
"431","291","IMPACT","classic","pooling",0.7183
"432","291","OCCURRENCE","classic","pooling",0.6197
"433","291","IMPACT","area","center",0.1011
"434","291","OCCURRENCE","area","center",0.0557
"435","291","IMPACT","area","centertogrid",0.2262
"436","291","OCCURRENCE","area","centertogrid",0.1619
"437","291","IMPACT","area","reachedgrid",0.1704
"438","291","OCCURRENCE","area","reachedgrid",0.1449
"439","291","IMPACT","area","weighted",0.0324
"440","291","OCCURRENCE","area","weighted",0.0113
"441","291","IMPACT","area","pooling",0.604
"442","291","OCCURRENCE","area","pooling",0.51
"443","291","IMPACT","center","centertogrid",0.2535
"444","291","OCCURRENCE","center","centertogrid",0.1549
"445","291","IMPACT","center","reachedgrid",0.2671
"446","291","OCCURRENCE","center","reachedgrid",0.1481
"447","291","IMPACT","center","weighted",0.0688
"448","291","OCCURRENCE","center","weighted",0.0576
"449","291","IMPACT","center","pooling",0.5211
"450","291","OCCURRENCE","center","pooling",0.507
"451","291","IMPACT","centertogrid","reachedgrid",0.0558
"452","291","OCCURRENCE","centertogrid","reachedgrid",0.0355
"453","291","IMPACT","centertogrid","weighted",0.2157
"454","291","OCCURRENCE","centertogrid","weighted",0.1531
"455","291","IMPACT","centertogrid","pooling",0.6761
"456","291","OCCURRENCE","centertogrid","pooling",0.6056
"457","291","IMPACT","reachedgrid","weighted",0.1983
"458","291","OCCURRENCE","reachedgrid","weighted",0.1476
"459","291","IMPACT","reachedgrid","pooling",0.7319
"460","291","OCCURRENCE","reachedgrid","pooling",0.5702
"461","291","IMPACT","weighted","pooling",0.5721
"462","291","OCCURRENCE","weighted","pooling",0.5013
"463","292","IMPACT","classic","area",0.2411
"464","292","OCCURRENCE","classic","area",0.4133
"465","292","IMPACT","classic","center",0.3286
"466","292","OCCURRENCE","classic","center",0.4
"467","292","IMPACT","classic","centertogrid",0.1058
"468","292","OCCURRENCE","classic","centertogrid",0.3366
"469","292","IMPACT","classic","reachedgrid",0.0469
"470","292","OCCURRENCE","classic","reachedgrid",0.2831
"471","292","IMPACT","classic","weighted",0.2947
"472","292","OCCURRENCE","classic","weighted",0.4035
"473","292","IMPACT","classic","pooling",0.7
"474","292","OCCURRENCE","classic","pooling",0.7714
"475","292","IMPACT","area","center",0.1389
"476","292","OCCURRENCE","area","center",0.0673
"477","292","IMPACT","area","centertogrid",0.2828
"478","292","OCCURRENCE","area","centertogrid",0.2164
"479","292","IMPACT","area","reachedgrid",0.224
"480","292","OCCURRENCE","area","reachedgrid",0.1628
"481","292","IMPACT","area","weighted",0.0554
"482","292","OCCURRENCE","area","weighted",0.0214
"483","292","IMPACT","area","pooling",0.6521
"484","292","OCCURRENCE","area","pooling",0.545
"485","292","IMPACT","center","centertogrid",0.3201
"486","292","OCCURRENCE","center","centertogrid",0.2081
"487","292","IMPACT","center","reachedgrid",0.2816
"488","292","OCCURRENCE","center","reachedgrid",0.1742
"489","292","IMPACT","center","weighted",0.0836
"490","292","OCCURRENCE","center","weighted",0.0755
"491","292","IMPACT","center","pooling",0.6
"492","292","OCCURRENCE","center","pooling",0.5143
"493","292","IMPACT","centertogrid","reachedgrid",0.0964
"494","292","OCCURRENCE","centertogrid","reachedgrid",0.0536
"495","292","IMPACT","centertogrid","weighted",0.2677
"496","292","OCCURRENCE","centertogrid","weighted",0.2326
"497","292","IMPACT","centertogrid","pooling",0.5942
"498","292","OCCURRENCE","centertogrid","pooling",0.5652
"499","292","IMPACT","reachedgrid","weighted",0.2477
"500","292","OCCURRENCE","reachedgrid","weighted",0.179
"501","292","IMPACT","reachedgrid","pooling",0.6531
"502","292","OCCURRENCE","reachedgrid","pooling",0.5116
"503","292","IMPACT","weighted","pooling",0.6124
"504","292","OCCURRENCE","weighted","pooling",0.5539
"505","293","IMPACT","classic","area",0.2851
"506","293","OCCURRENCE","classic","area",0.2905
"507","293","IMPACT","classic","center",0.2456
"508","293","OCCURRENCE","classic","center",0.2456
"509","293","IMPACT","classic","centertogrid",0.0702
"510","293","OCCURRENCE","classic","centertogrid",0.1579
"511","293","IMPACT","classic","reachedgrid",0.0989
"512","293","OCCURRENCE","classic","reachedgrid",0.1319
"513","293","IMPACT","classic","weighted",0.2413
"514","293","OCCURRENCE","classic","weighted",0.2672
"515","293","IMPACT","classic","pooling",0.7368
"516","293","OCCURRENCE","classic","pooling",0.7368
"517","293","IMPACT","area","center",0.1529
"518","293","OCCURRENCE","area","center",0.0852
"519","293","IMPACT","area","centertogrid",0.2501
"520","293","OCCURRENCE","area","centertogrid",0.2852
"521","293","IMPACT","area","reachedgrid",0.2044
"522","293","OCCURRENCE","area","reachedgrid",0.1817
"523","293","IMPACT","area","weighted",0.0478
"524","293","OCCURRENCE","area","weighted",0.0256
"525","293","IMPACT","area","pooling",0.6101
"526","293","OCCURRENCE","area","pooling",0.5672
"527","293","IMPACT","center","centertogrid",0.2456
"528","293","OCCURRENCE","center","centertogrid",0.3158
"529","293","IMPACT","center","reachedgrid",0.2054
"530","293","OCCURRENCE","center","reachedgrid",0.2123
"531","293","IMPACT","center","weighted",0.1061
"532","293","OCCURRENCE","center","weighted",0.0645
"533","293","IMPACT","center","pooling",0.5439
"534","293","OCCURRENCE","center","pooling",0.5263
"535","293","IMPACT","centertogrid","reachedgrid",0.0767
"536","293","OCCURRENCE","centertogrid","reachedgrid",0.1035
"537","293","IMPACT","centertogrid","weighted",0.2312
"538","293","OCCURRENCE","centertogrid","weighted",0.2776
"539","293","IMPACT","centertogrid","pooling",0.6667
"540","293","OCCURRENCE","centertogrid","pooling",0.5965
"541","293","IMPACT","reachedgrid","weighted",0.1981
"542","293","OCCURRENCE","reachedgrid","weighted",0.2013
"543","293","IMPACT","reachedgrid","pooling",0.7069
"544","293","OCCURRENCE","reachedgrid","pooling",0.7
"545","293","IMPACT","weighted","pooling",0.5684
"546","293","OCCURRENCE","weighted","pooling",0.543
"547","294","IMPACT","classic","area",0.3387
"548","294","OCCURRENCE","classic","area",0.2703
