""	"ACC2SURV_ACCID"	"ANS2SURV_ID"	"IMPACT"	"OCCURRENCE"	"X1PCT"	"Y1PCT"	"X2PCT"	"Y2PCT"	"QUES2SURV_QUESID"	"QUES2SURV_METHOD"	"X1Pixel"	"X2Pixel"	"Y1Pixel"	"Y2Pixel"	"ClassicGrid"	"getlowx"	"gethighx"	"getlowy"	"gethighy"	"hitOcc"	"hitImp"
"87"	346	139375	2	3	"49.75"	"49.5"	"55.5"	"55"	299	"classic"	199	222	198	220	"Grid44"	3	3	3	3	TRUE	FALSE
"88"	346	139376	3	3	"49,75"	"49,5"	"55,5"	"55"	299	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"89"	346	139377	3	5	"70"	"84.5"	"77.5"	"88.25"	300	"classic"	280	310	338	353	"Grid44"	4	4	1	1	FALSE	FALSE
"90"	346	139378	4	5	"70"	"84,5"	"77,5"	"88,25"	300	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"91"	346	139379	NA	NA	""	""	""	""	301	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"92"	346	139380	NA	NA	""	""	""	""	301	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"93"	346	139381	NA	NA	""	""	""	""	302	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"94"	346	139382	NA	NA	""	""	""	""	302	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"95"	346	139383	4	4	"85.75"	"7"	"89.75"	"11.75"	303	"classic"	343	359	28	47	"Grid44"	5	5	5	5	FALSE	FALSE
"96"	346	139384	5	1	"85,75"	"7"	"89,75"	"11,75"	303	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"97"	346	139385	3	3	"78.25"	"45.25"	"84.75"	"50.5"	304	"classic"	313	339	181	202	"Grid44"	4	5	3	3	FALSE	TRUE
