BenutzerID;Typ;QuesID;Method;Answered;Sort;Impact;Occurrence;X1pct;Y1pct;X2pct;Y2pct;Duration
905;Risiko;285;classic;ja;30;4;4;;;;;56
905;Risiko;286;classic;ja;31;2;4;;;;;13
905;Chance;287;classic;ja;32;4;5;;;;;59
905;Chance;288;classic;nein;33;;;;;;;34
905;Risiko;289;classic;ja;34;4;3;;;;;29
905;Chance;290;classic;ja;35;4;4;;;;;9
905;Chance;291;classic;ja;36;4;4;;;;;19
905;Chance;292;classic;ja;37;4;5;;;;;11
905;Chance;293;classic;nein;38;;;;;;;5
905;Chance;294;classic;ja;39;4;4;;;;;13
905;Risiko;295;classic;ja;40;4;3;;;;;14
905;Risiko;296;classic;ja;41;4;3;;;;;14
905;Risiko;320;classic;ja;42;5;3;;;;;9
905;Risiko;321;classic;ja;43;5;3;;;;;15
905;Risiko;299;classic;ja;44;3;3;;;;;13
905;Risiko;300;classic;ja;45;4;3;;;;;12
905;Risiko;301;classic;ja;46;4;3;;;;;8
905;Risiko;302;classic;ja;47;4;3;;;;;11
905;Risiko;303;classic;ja;48;4;3;;;;;13
905;Risiko;304;classic;nein;49;;;;;;;13
905;Risiko;305;classic;ja;50;4;3;;;;;23
905;Risiko;306;classic;ja;51;3;3;;;;;13
905;Risiko;307;classic;ja;52;3;3;;;;;39
905;Risiko;308;classic;nein;53;;;;;;;19
905;Chance;309;classic;ja;54;4;4;;;;;21
905;Risiko;310;classic;ja;55;4;2;;;;;26
905;Risiko;311;classic;ja;56;5;2;;;;;14
905;Risiko;312;classic;ja;57;5;2;;;;;12
905;Risiko;313;classic;ja;58;4;3;;;;;9
905;Risiko;314;classic;nein;59;;;;;;;12
905;Risiko;315;classic;ja;60;3;2;;;;;14
905;Risiko;316;classic;nein;61;;;;;;;8
905;Chance;317;classic;ja;62;4;4;;;;;6
905;Risiko;318;classic;nein;63;;;;;;;18
905;Chance;319;classic;ja;64;4;4;;;;;10
905;Chance;322;classic;ja;65;5;4;;;;;20
905;Chance;323;classic;ja;66;4;4;;;;;10
905;Risiko;324;classic;nein;67;;;;;;;14
905;Risiko;340;classic;ja;68;4;3;;;;;10
905;Risiko;341;classic;nein;69;;;;;;;10
905;Risiko;342;classic;ja;70;4;4;;;;;17
905;Risiko;343;classic;ja;71;3;4;;;;;11
905;Chance;325;classic;ja;72;4;4;;;;;21
905;Risiko;326;classic;ja;73;3;3;;;;;8
905;Risiko;327;classic;ja;74;3;3;;;;;8
905;Risiko;328;classic;ja;75;3;3;;;;;18
905;Risiko;329;classic;nein;76;;;;;;;9
905;Risiko;330;classic;nein;77;;;;;;;9
905;Risiko;331;classic;ja;78;4;2;;;;;22
905;Chance;332;classic;ja;79;4;5;;;;;6
905;Risiko;333;classic;ja;80;4;3;;;;;9
905;Risiko;334;classic;nein;81;;;;;;;7
905;Risiko;335;classic;ja;82;4;4;;;;;14
905;Risiko;336;classic;ja;83;3;4;;;;;10
905;Risiko;337;classic;ja;84;4;4;;;;;9
905;Risiko;338;classic;ja;85;3;4;;;;;12
905;Risiko;339;classic;nein;86;;;;;;;10
905;Chance;364;graphic;nein;21;;;;;;;
905;Risiko;298;graphic;nein;25;;;;;;;
905;Chance;288;graphic;nein;33;;;;;;;
905;Chance;293;graphic;nein;38;;;;;;;
905;Risiko;304;graphic;nein;49;;;;;;;
905;Risiko;308;graphic;nein;53;;;;;;;
905;Risiko;314;graphic;nein;59;;;;;;;
905;Risiko;316;graphic;nein;61;;;;;;;
905;Risiko;318;graphic;nein;63;;;;;;;
905;Risiko;324;graphic;nein;67;;;;;;;
905;Risiko;341;graphic;nein;69;;;;;;;
905;Risiko;329;graphic;nein;76;;;;;;;
905;Risiko;330;graphic;nein;77;;;;;;;
905;Risiko;334;graphic;nein;81;;;;;;;
905;Risiko;339;graphic;nein;86;;;;;;;
881;Risiko;344;classic;ja;1;3;3;;;;;98
881;Risiko;345;classic;ja;2;4;3;;;;;54
881;Chance;346;classic;ja;3;4;4;;;;;36
881;Risiko;347;classic;ja;4;3;2;;;;;35
881;Risiko;348;classic;ja;5;4;4;;;;;30
881;Risiko;349;classic;ja;6;3;1;;;;;15
881;Risiko;350;classic;ja;7;2;4;;;;;24
881;Risiko;351;classic;ja;8;2;3;;;;;21
881;Risiko;352;classic;ja;9;4;3;;;;;15
881;Risiko;353;classic;ja;10;4;2;;;;;29
881;Risiko;354;classic;ja;11;5;2;;;;;15
881;Risiko;355;classic;ja;12;4;1;;;;;20
881;Risiko;356;classic;ja;13;3;2;;;;;27
881;Risiko;357;classic;ja;14;4;1;;;;;18
881;Risiko;358;classic;ja;15;2;3;;;;;46
881;Risiko;359;classic;ja;16;5;3;;;;;25
881;Risiko;360;classic;ja;17;3;2;;;;;14
881;Risiko;361;classic;ja;18;3;3;;;;;33
881;Risiko;362;classic;ja;19;5;2;;;;;37
881;Risiko;363;classic;ja;20;4;3;;;;;45
881;Chance;364;classic;ja;21;4;4;;;;;32
881;Risiko;365;classic;ja;22;2;5;;;;;23
881;Chance;366;classic;ja;23;4;4;;;;;23
881;Chance;297;classic;ja;24;4;4;;;;;79
