QUES2SURV_ID;COUNTANS;QUES2SURV_QUESID;QUES2SURV_SURVID;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;QUES_ID;QUES_TYP;QUES_TEXT;QUES_HEADLINE;QUES_CATEGORY;QUES_TOPIC;QUES_CAUSE;QUES_EFFECT
3802;10;708;281;115;classic;RA001;708;Risiko;Behördenauflagen sind nicht ausführbar (wurden davor nicht abgeklärt/erkundet/erfragt);Risikofrage;Rechtliche Aspekte;RA;;
3808;10;709;281;116;classic;RA002;709;Risiko;Bescheidauflagen können unter Einhaltung des Kostenrahmens nicht umgesetzt werden;Risikofrage;Rechtliche Aspekte;RA;;
3801;10;707;281;117;classic;RA003;707;Risiko;Betriebsbewilligung kann nicht erteilt werden;Risikofrage;Rechtliche Aspekte;RA;;
3799;9;705;281;118;classic;RA004;705;Risiko;Einlangen einer Klage;Risikofrage;Rechtliche Aspekte;RA;;
3800;10;706;281;119;classic;RA005;706;Risiko;Errichtungsbewilligung kann nicht erteilt werden;Risikofrage;Rechtliche Aspekte;RA;;
3804;10;710;281;120;classic;RA006;710;Risiko;Gesetzliche Vorgaben können nicht eingehalten werden (bestehende Ausnahmeregelung, Betriebsvereinbarung …);Risikofrage;Rechtliche Aspekte;RA;;
3807;10;713;281;121;classic;RA007;713;Risiko;keine Berücksichtigung etwaiger gesetzlicher Vorgaben des Strahlenschutz im Rahmen von Bautätigkeiten;Risikofrage;Rechtliche Aspekte;RA;;
3803;10;714;281;122;classic;RA008;714;Risiko;negative Stellungnahme durch den L-RH;Risikofrage;Rechtliche Aspekte;RA;;
3806;10;712;281;123;classic;RA009;712;Risiko;Notwendige gutachterliche/fachplanerische Stellungnahme nicht vorhanden;Risikofrage;Rechtliche Aspekte;RA;;
3798;10;704;281;124;classic;RA010;704;Risiko;Verzögerungen in diversen Vergabeverfahren (Einsprüche) vor allem bei Schlüsselgewerken;Risikofrage;Rechtliche Aspekte;RA;;
3805;10;711;281;125;classic;RA011;711;Risiko;Vorabklärung mit der Behörde nicht durchgeführt (z.B. Landesrechnungshof);Risikofrage;Rechtliche Aspekte;RA;;
3778;5;811;281;126;classic;SI001;811;Risiko;Anbindung an den Bestand im 3.OG West (Abströmöffnungen der DBA Anlage müssen versetz werden), dadurch resultierend eine zeitliche Abschaltung der Anlage;Risikofrage;Sicherheit;SI;;
3787;10;820;281;127;classic;SI002;820;Risiko;Ausfall kritischer Infrastruktur;Risikofrage;Sicherheit;SI;;
3789;10;822;281;128;classic;SI003;822;Risiko;Beeinträchtigung des Zugangs/Zufahrt der Notaufnahme;Risikofrage;Sicherheit;SI;;
3777;9;810;281;129;classic;SI004;810;Risiko;Eingriff in den Bestand (Abschaltung von Brandmeldelinien ) keine Überwachung während der Abschaltungen;Risikofrage;Sicherheit;SI;;
3779;9;812;281;130;classic;SI005;812;Risiko;Eingriff in die bestehenden Stiegenhäuser (Sperre des Fluchtweg / Notausgang);Risikofrage;Sicherheit;SI;;
3774;10;807;281;131;classic;SI006;807;Risiko;Erhöhte Gefährdung von Personen und Anlagen (Projektphasen …);Risikofrage;Sicherheit;SI;;
3792;6;854;281;132;classic;SI007;854;Chance;Erweiterung der Druckbelüftungsanlage im NEUBAU laut Brandschutzkonzept;Chancenfrage;Sicherheit;SI;;
3793;5;855;281;133;classic;SI008;855;Chance;Erweiterung der Hochdruckvernebelungsanlage im NEUBAU laut Brandschutzkonzept;Chancenfrage;Sicherheit;SI;;
3797;10;805;281;134;classic;SI009;805;Risiko;Fehlender Check gegen interne Policies (Projektphasen …);Risikofrage;Sicherheit;SI;;
3785;8;818;281;135;classic;SI010;818;Risiko;gelieferte Trinkwasserleitungen und Lüftungskanäle sind nicht mit Endkappen versehen;Risikofrage;Sicherheit;SI;;
3776;10;809;281;136;classic;SI011;809;Risiko;Heißarbeiten während der Bauphasen (Flämmarbeiten, Schweißarbeiten, Flexarbeiten usw.).;Risikofrage;Sicherheit;SI;;
3786;10;819;281;137;classic;SI012;819;Risiko;keine ausreichende Baugrubenabsicherung zum angrenzenden Betrieb;Risikofrage;Sicherheit;SI;;
3791;10;824;281;138;classic;SI013;824;Risiko;keine ausreichende Einbindung und Information der Sicherheitsbeauftragten über sicherheitsrelevante Faktoren;Risikofrage;Sicherheit;SI;;
3788;10;821;281;139;classic;SI014;821;Risiko;Kollektorgang nicht nutzbar;Risikofrage;Sicherheit;SI;;
3775;10;808;281;140;classic;SI015;808;Risiko;Mangelnder Brandschutz (Projektphasen …);Risikofrage;Sicherheit;SI;;
3780;9;813;281;141;classic;SI016;813;Risiko;Öffnung von diversen Brandabschottungen / Brandabschnitten / Rauchabschnitten im Bestand;Risikofrage;Sicherheit;SI;;
3795;10;857;281;142;classic;SI017;857;Chance;Patienten mit Infektion werden separiert geführt (Liftausgang …);Chancenfrage;Sicherheit;SI;;
3773;10;806;281;143;classic;SI018;806;Risiko;Projektumfeld risikoreich (Projektphasen …);Risikofrage;Sicherheit;SI;;
3784;5;817;281;144;classic;SI019;817;Risiko;Querkontamination;Risikofrage;Sicherheit;SI;;
3782;9;815;281;145;classic;SI020;815;Risiko;Rauchen und offenes Licht im BAUFELD / BAUSTELLE;Risikofrage;Sicherheit;SI;;
3794;10;856;281;146;classic;SI021;856;Chance;Schwerlasten (Logistik, Wasseraufbereitung …) werden im Keller situiert;Chancenfrage;Sicherheit;SI;;
3781;9;814;281;147;classic;SI022;814;Risiko;Sperre von Bereichen in der Tiefgarage (Technik für die BRV Anlage fehlt während der Bauphase);Risikofrage;Sicherheit;SI;;
3772;10;858;281;148;classic;SI023;858;Chance;Steigerung der Sicherheit von Patient:innen, Mitarbeiter:innen und Dritter;Chancenfrage;Sicherheit;SI;;
3796;10;804;281;149;classic;SI024;804;Risiko;Unbefugte Personen im Baustellenbereich;Risikofrage;Sicherheit;SI;;
3783;10;816;281;150;classic;SI025;816;Risiko;Verstellte Fluchtwege;Risikofrage;Sicherheit;SI;;
3790;10;823;281;151;classic;SI026;823;Risiko;Zeitgerechte Umsetzung/Überwachung vorhabensbezogener sicherheitstechnischer Vorgaben;Risikofrage;Sicherheit;SI;;
3771;10;841;281;152;classic;SR001;841;Risiko;Pandemie - Beeinträchtigung der Projektbeteiligten;Risikofrage;Sonderrisiken;SR;;
3763;9;838;281;153;classic;TE001;838;Risiko;Auswirkung an angrenzende Bereiche (befinden sich daneben, darüber, darunter);Risikofrage;Technik;TE;;
3760;10;835;281;154;classic;TE002;835;Risiko;Baugrund - Bodenerkundung / Gutachten - falsche/ungeeignete Wahl/Planung des Sicherungssystems (Baugrubensicherung, -umschließung), Auswirkungen auf Umgebung, Nachbarbauwerke,…;Risikofrage;Technik;TE;;
3759;10;834;281;155;classic;TE003;834;Risiko;Baugrund - Material - Materialverwertbarkeit (Massendisposition), Kontaminierung des Baugrundes;Risikofrage;Technik;TE;;
3754;10;829;281;156;classic;TE004;829;Risiko;Beeinträchtigung des Betriebes (Erschütterung, Lärm, Staub, Kapazitäten uvm.);Risikofrage;Technik;TE;;
3764;9;839;281;157;classic;TE005;839;Risiko;Beschädigung bzw. Beeinträchtigung der Betriebsbereitschaft sensibler medizintechnischer Geräte (z. B. SPECT Kameras, Szintillationskristalle) Bestand und Siedlungsgut;Risikofrage;Technik;TE;;
3761;10;836;281;158;classic;TE006;836;Risiko;Beweissicherungen - nicht ordnungsgemäße bzw. unvollständige Beweissicherung  - Grundwasser und Erschütterung für umliegende Gebäude, Beschädigung / Rückbau von Bestandsleitungen mit unbekannter Funktion: Betriebsunterbrechung;Risikofrage;Technik;TE;;
3751;9;863;281;159;classic;TE007;863;Chance;Business Continuity in Ableitung von der Unternehmensstrategie zu diesem Thema konzeptionell und in der Projektplanung vorsehen;Chancenfrage;Technik;TE;;
3768;10;861;281;160;classic;TE008;861;Chance;Fernwärme/Kälteversorgung für zukünftige Versorgung berücksichtigen (Neuverlegung, Trassenführung);Chancenfrage;Technik;TE;;
3758;10;833;281;161;classic;TE009;833;Risiko;Hygiene - Fehlplanungen, Anforderungsänderungen, Nicht zeitgerechte Ausarbeitung der beauftragten Personen;Risikofrage;Technik;TE;;
3765;10;840;281;162;classic;TE010;840;Risiko;IT- und MT-Schnittstellenproblematiken zwischen den Einrichtungen werden nicht ausreichend berücksichtigt;Risikofrage;Technik;TE;;
3769;10;862;281;163;classic;TE011;862;Chance;Kollektorgänge für zukünftige Erweiterungen vorbereitet (Onkozentrum);Chancenfrage;Technik;TE;;
3756;10;831;281;164;classic;TE012;831;Risiko;Laufender Betrieb lässt nur eingeschränkte Projektarbeitszeit zu;Risikofrage;Technik;TE;;
